impression,url_hash,ad_id,advertiser_id,depth,position,query_id,keyword_id,title_id,description_id,user_id,click
1.0,6.715049002232656e+18,3065545.0,23783.0,1.0,1.0,310.0,60.0,54.0,78.0,21370668.0,1
1.0,1.803776767567231e+19,20812922.0,12192.0,2.0,1.0,1283.0,7747.0,241611.0,22886.0,991235.0,0
1.0,1.4340390157469405e+19,9027213.0,23808.0,3.0,1.0,5.0,1.0,0.0,0.0,10582770.0,0
1.0,2.961301599190014e+18,21249750.0,36352.0,3.0,1.0,3803.0,4647.0,26209.0,2657.0,4416802.0,0
1.0,1.6425751361303523e+19,20659788.0,34074.0,3.0,3.0,1212618.0,1647.0,7138.0,377.0,1335487.0,0
1.0,1.4756578758696272e+19,22138715.0,3625.0,3.0,1.0,262.0,922.0,13934.0,118.0,9716707.0,0
1.0,1.516792799340693e+19,20207797.0,781.0,2.0,2.0,17384.0,4307.0,9688.0,961.0,14326.0,0
1.0,6.386831641435318e+18,20200382.0,14110.0,2.0,2.0,1247387.0,6929.0,608413.0,491831.0,42131.0,0
2.0,6.475891272991592e+18,21408578.0,36946.0,2.0,1.0,4952118.0,267.0,6004.0,2950.0,2500536.0,0
2.0,1.205787899908646e+19,20164452.0,27961.0,2.0,1.0,2551.0,992.0,969.0,1243.0,11458379.0,1
1.0,7.703279069701544e+18,4284914.0,4983.0,2.0,2.0,1112272.0,96573.0,384384.0,224954.0,3391.0,0
1.0,9.5590574966714e+18,21140734.0,20459.0,2.0,1.0,1379832.0,383022.0,1401250.0,1097073.0,4022171.0,1
1.0,1.1243521181800204e+19,21021732.0,35398.0,2.0,1.0,244.0,1722.0,423.0,3794.0,7011093.0,1
1.0,1.2837504198869457e+19,21832219.0,30627.0,1.0,1.0,16.0,86.0,1287.0,1507.0,6841608.0,0
1.0,8.994557070508579e+18,20030151.0,23799.0,2.0,1.0,15416256.0,24296.0,15.0,19.0,0.0,0
1.0,1.4340390157469405e+19,21163924.0,23808.0,1.0,1.0,55057.0,41950.0,92071.0,62.0,244207.0,1
1.0,1.3393518283442653e+19,4354127.0,799.0,2.0,2.0,384175.0,339.0,1863.0,2141.0,1447157.0,0
1.0,7.953863969799817e+18,21407009.0,5058.0,2.0,2.0,275084.0,623.0,122913.0,98683.0,638300.0,1
1.0,7.90391452832019e+18,21162526.0,1325.0,1.0,1.0,18102967.0,10.0,22.0,23.0,1513397.0,1
1.0,8.994557070508579e+18,20030150.0,23799.0,2.0,1.0,8886.0,3.0,15.0,19.0,3928545.0,1
1.0,1.6379518661453418e+19,4266427.0,22600.0,2.0,1.0,13617882.0,27222.0,92646.0,30258.0,2216518.0,0
1.0,3.009964763032937e+18,4393420.0,2580.0,3.0,3.0,96385.0,44260.0,221802.0,186691.0,0.0,0
6.0,2.6928596198512824e+18,4321470.0,2051.0,2.0,1.0,58.0,151.0,475.0,626.0,102042.0,1
1.0,3.089000650796075e+18,20140368.0,14327.0,2.0,2.0,777766.0,1986.0,722.0,9507.0,622984.0,0
2.0,4.244610843954253e+18,21208135.0,20741.0,2.0,2.0,7840.0,2154.0,8982.0,5205.0,7301992.0,1
1.0,5.468727571223081e+18,20001399.0,1381.0,3.0,1.0,5343107.0,8824.0,17046.0,16720.0,14285.0,0
1.0,1.4531867648059392e+19,3834142.0,27485.0,3.0,1.0,2.0,8.0,28.0,74.0,1902088.0,1
2.0,1.4340390157469405e+19,9027429.0,23808.0,1.0,1.0,99014.0,35482.0,2857.0,3118.0,12147376.0,1
1.0,1.205787899908646e+19,20180673.0,27961.0,1.0,1.0,382.0,29.0,4561.0,4975.0,19695311.0,1
1.0,5.260594170071819e+16,3048011.0,23782.0,1.0,1.0,275.0,372.0,245.0,357.0,13529071.0,1
1.0,5.320107942293206e+18,10399563.0,12209.0,3.0,1.0,44649.0,5798.0,5963.0,6251.0,151194.0,1
1.0,1.5437380231680154e+19,21847637.0,37822.0,3.0,2.0,8033067.0,6618.0,118550.0,3455.0,132253.0,0
1.0,1.205787899908646e+19,20183546.0,27961.0,1.0,1.0,23613243.0,35894.0,72506.0,65612.0,111633.0,0
2.0,3.3977196259072773e+18,4361248.0,23651.0,2.0,1.0,37805.0,56565.0,11437.0,64634.0,5277973.0,1
